date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:24:11	56148/56148	---MCZ	200	added ('OK')	text/html	etag:W/%22654901fd-db54%22	https://miller.bslthemes.com/ashley-demo/home-1.html	C:/My%20Web%20Sites/portfolio/miller.bslthemes.com/ashley-demo/home-1.html	(from )
10:24:11	242/242	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Dec%202024%2018:24:12%20GMT	https://miller.bslthemes.com/robots.txt		(from )
10:24:11	71784/71784	---MCZ	200	added ('OK')	text/css	etag:W/%2265490200-11868%22	https://miller.bslthemes.com/ashley-demo/css/plugins/bootstrap-grid.css	C:/My%20Web%20Sites/portfolio/miller.bslthemes.com/ashley-demo/css/plugins/bootstrap-grid.css	(from https://miller.bslthemes.com/ashley-demo/home-1.html)
10:24:12	54619/54619	---MCZ	200	added ('OK')	text/css	etag:W/%2265490200-d55b%22	https://miller.bslthemes.com/ashley-demo/css/plugins/font-awesome.min.css	C:/My%20Web%20Sites/portfolio/miller.bslthemes.com/ashley-demo/css/plugins/font-awesome.min.css	(from https://miller.bslthemes.com/ashley-demo/home-1.html)
10:24:12	16460/16460	---MCZ	200	added ('OK')	text/css	etag:W/%2265490200-404c%22	https://miller.bslthemes.com/ashley-demo/css/plugins/swiper.min.css	C:/My%20Web%20Sites/portfolio/miller.bslthemes.com/ashley-demo/css/plugins/swiper.min.css	(from https://miller.bslthemes.com/ashley-demo/home-1.html)
10:24:12	0/0	---M--	200	added ('OK')	text/css	etag:%2265490200-0%22	https://miller.bslthemes.com/ashley-demo/css/plugins/fancybox.min.css	C:/My%20Web%20Sites/portfolio/miller.bslthemes.com/ashley-demo/css/plugins/fancybox.min.css	(from https://miller.bslthemes.com/ashley-demo/home-1.html)
10:24:12	95058/95058	---MCZ	200	added ('OK')	text/css	etag:W/%22654901ff-17352%22	https://miller.bslthemes.com/ashley-demo/css/style.css	C:/My%20Web%20Sites/portfolio/miller.bslthemes.com/ashley-demo/css/style.css	(from https://miller.bslthemes.com/ashley-demo/home-1.html)
10:24:13	20568/20568	---MCZ	200	added ('OK')	text/html	etag:W/%22654901fe-5058%22	https://miller.bslthemes.com/ashley-demo/home-2.html	C:/My%20Web%20Sites/portfolio/miller.bslthemes.com/ashley-demo/home-2.html	(from https://miller.bslthemes.com/ashley-demo/home-1.html)
10:24:13	30972/30972	---MCZ	200	added ('OK')	text/html	etag:W/%22654901fe-78fc%22	https://miller.bslthemes.com/ashley-demo/portfolio-3.html	C:/My%20Web%20Sites/portfolio/miller.bslthemes.com/ashley-demo/portfolio-3.html	(from https://miller.bslthemes.com/ashley-demo/home-1.html)
10:24:13	32218/32218	---MCZ	200	added ('OK')	text/html	etag:W/%22654901fe-7dda%22	https://miller.bslthemes.com/ashley-demo/portfolio-1.html	C:/My%20Web%20Sites/portfolio/miller.bslthemes.com/ashley-demo/portfolio-1.html	(from https://miller.bslthemes.com/ashley-demo/home-1.html)
10:24:13	32213/32213	---MCZ	200	added ('OK')	text/html	etag:W/%22654901fe-7dd5%22	https://miller.bslthemes.com/ashley-demo/portfolio-2.html	C:/My%20Web%20Sites/portfolio/miller.bslthemes.com/ashley-demo/portfolio-2.html	(from https://miller.bslthemes.com/ashley-demo/home-1.html)
10:24:13	32001/32001	---MCZ	200	added ('OK')	text/html	etag:W/%22654901fe-7d01%22	https://miller.bslthemes.com/ashley-demo/services.html	C:/My%20Web%20Sites/portfolio/miller.bslthemes.com/ashley-demo/services.html	(from https://miller.bslthemes.com/ashley-demo/home-1.html)
